text,airline_sentiment,labels
what would it cost,neutral,1
Used 2 get emails 1) pre-purchase a snack and 2) when time to check in. Got neither 4 tomorrow's trip. Do they not get sent now?,neutral,1
"no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",negative,0
"not frustrated, just an idea! Great crew. Thanks! #happycustomer",positive,2
narrowly made standby...lots of snags this trip!,negative,0
Pay for my accommodations when you are the ones Cancelled Flightling it for no reason and I know your saying (lying) it cause of weather,negative,0
But I don't see AA,neutral,1
How can you get your TSA traveler ID added to your boarding pass? Why would it not be included as TSA precheck? Flying tomorro,neutral,1
agent won't hold for connection arriving Late Flight. 7 min before departure time but 3 min too Late Flight. Flt 1903 gate c19. Disappointed,negative,0
can you tell me why flight 1542 from dfw to phl was Cancelled Flightled for tomorrow?,neutral,1
"Storm or no storm, your customer service is a joke. 6 hour wait time to speak to someone? I will never fly your airline again.",negative,0
would love Tix for Velour show-entered every contest and still haven't won :(,neutral,1
to start 3xweekly #B737-900 flights from #NewOrleans to #Cancun on between 9MAY-5SEP #avgeek,neutral,1
"Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",negative,0
"need to learn operations. Sit a plane overnight at #gsp, and not realize there's a mech problem. Then delay flight 3 1/2 hours!",negative,0
cost me over 200 dollars because flight was Cancelled Flightled and couldn't even give me a food comp!! Fly   they take,negative,0
"See you in ATL! “: Congrats to our #DestinationDragons winners! Ready, Atlanta?",neutral,1
has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible,negative,0
"if I am a rapid awards member, does my points apply after I have taken my round trip?",neutral,1
or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares.,negative,0
Thanks.,neutral,1
. It's been 5 hours and still no call and now we are back to being hung up on by an automated system.  #AmericanAirlines,negative,0
"Nice RT : The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience",positive,2
"thanks, i made it.",positive,2
first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral,1
can you take care  please.  Thanks,neutral,1
"big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!",positive,2
You definitely will!,positive,2
flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail,negative,0
has been almost a month and still no response to my online complaint/questions. Out $300 because of it.,negative,0
"30 minutes flight from OKC and then make us wait, 30 minutes cause the gate isn't empty.  #epicfail #poorplanning",negative,0
thanks!!,positive,2
Hopefully you guys are willing to cover my lovely car rental and living charges...I love being here for two extra days..,negative,0
will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral,1
"flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage):",negative,0
"Or...

....how about a 1way LAX-NYC(area) under 190?! Is this possible ?",neutral,1
the best seats should be for paying customers and we should get to board first #badcustomerservice,negative,0
you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?,neutral,1
great flight on a brand new jet. Great seating. Beautiful plane. Big fan of this airline.,positive,2
